,Year,Value
1532,2018,4579
1533,2018,552
1534,2018,3989
1535,2018,14
1536,2018,6
1537,2018,18
1538,2018,4203
1539,2018,33
1540,2018,14
1541,2018,93
1542,2018,1111
1543,2018,1
1544,2018,366
1545,2018,2545
1546,2018,41
1547,2018,507
1548,2018,521
1549,2018,391
1550,2018,3134
1551,2018,2082
1552,2018,667
1553,2018,147
1554,2018,45
1555,2018,385
1556,2018,3134
1557,2018,1308
1558,2018,1280
1559,2018,547
1560,2018,285100
1561,2018,24300
1562,2018,163
1563,2018,122
1564,2018,34
1565,2018,30
1566,2018,12
1567,2018,42
1568,2018,1948
1569,2018,159
1570,2018,1776
1571,2018,3
1572,2018,0
1573,2018,11
1574,2018,1780
1575,2018,18
1576,2018,7
1577,2018,40
1578,2018,491
1579,2018,0
1580,2018,109
1581,2018,1099
1582,2018,16
1583,2018,223
1584,2018,236
1585,2018,181
1586,2018,1217
1587,2018,713
1588,2018,311
1589,2018,80
1590,2018,36
1591,2018,194
1592,2018,1217
1593,2018,460
1594,2018,507
1595,2018,251
1596,2018,220700
1597,2018,20500
1598,2018,141
1599,2018,94
1600,2018,31
1601,2018,39
1602,2018,15
1603,2018,38
1604,2018,1282
1605,2018,80
1606,2018,1193
1607,2018,2
1608,2018,0
1609,2018,7
1610,2018,1166
1611,2018,12
1612,2018,5
1613,2018,27
1614,2018,327
1615,2018,0
1616,2018,60
1617,2018,721
1618,2018,13
1619,2018,110
1620,2018,115
1621,2018,122
1622,2018,761
1623,2018,427
1624,2018,192
1625,2018,48
1626,2018,22
1627,2018,142
1628,2018,761
1629,2018,276
1630,2018,303
1631,2018,181
1632,2018,220800
1633,2018,21000
1634,2018,141
1635,2018,103
1636,2018,25
1637,2018,44
1638,2018,16
1639,2018,36
1640,2018,666
1641,2018,78
1642,2018,583
1643,2018,1
1644,2018,0
1645,2018,3
1646,2018,615
1647,2018,6
1648,2018,2
1649,2018,13
1650,2018,164
1651,2018,0
1652,2018,49
1653,2018,377
1654,2018,3
1655,2018,113
1656,2018,121
1657,2018,59
1658,2018,457
1659,2018,286
1660,2018,119
1661,2018,32
1662,2018,14
1663,2018,52
1664,2018,457
1665,2018,183
1666,2018,204
1667,2018,70
1668,2018,220600
1669,2018,19500
1670,2018,140
1671,2018,81
1672,2018,37
1673,2018,32
1674,2018,13
1675,2018,40
1676,2018,20276
1677,2018,18816
1678,2018,C
1679,2018,C
1680,2018,1283
1681,2018,16870
1682,2018,1073
1683,2018,100
1684,2018,2099
1685,2018,1458
1686,2018,8
1687,2018,11879
1688,2018,261
1689,2018,332
1690,2018,309
1691,2018,3384
1692,2018,68761
1693,2018,4188
1694,2018,56058
1695,2018,2727
1696,2018,538
1697,2018,8515
1698,2018,68761
1699,2018,37684
1700,2018,5313
1701,2018,25765
1702,2018,1086700
1703,2018,181400
1704,2018,79
1705,2018,73
1706,2018,9
1707,2018,5
1708,2018,55
1709,2018,16917
1710,2018,16334
1711,2018,61
1712,2018,0
1713,2018,521
1714,2018,14604
1715,2018,957
1716,2018,71
1717,2018,1719
1718,2018,980
1719,2018,C
1720,2018,10653
1721,2018,223
1722,2018,300
1723,2018,274
1724,2018,2287
1725,2018,55929
1726,2018,3581
1727,2018,C
1728,2018,1831
1729,2018,475
1730,2018,C
1731,2018,55929
1732,2018,C
1733,2018,C
1734,2018,C
1735,2018,1547000
1736,2018,209200
1737,2018,C
1738,2018,C
1739,2018,C
1740,2018,4
1741,2018,C
1742,2018,3360
1743,2018,2482
1744,2018,C
1745,2018,C
1746,2018,762
1747,2018,2266
1748,2018,116
1749,2018,29
1750,2018,380
1751,2018,478
1752,2018,C
1753,2018,1225
1754,2018,38
1755,2018,32
1756,2018,35
1757,2018,1097
1758,2018,12833
1759,2018,606
1760,2018,C
1761,2018,896
1762,2018,63
1763,2018,C
1764,2018,12833
1765,2018,C
1766,2018,C
1767,2018,C
1768,2018,435000
1769,2018,142000
1770,2018,C
1771,2018,C
1772,2018,C
1773,2018,9
1774,2018,C
1775,2018,62198
1776,2018,61837
1777,2018,214
1778,2018,4
1779,2018,143
1780,2018,58832
1781,2018,659
1782,2018,204
1783,2018,1102
1784,2018,12411
1785,2018,12
1786,2018,44199
1787,2018,258
